Connecting to /dev/ttyUSB1 @ 57600...
HEARTBEAT received: 0, 0
t_ms,ch6,alt,roll,pitch,yaw
152,1000,0.606,-0.0,-0.2,2.7
305,1000,0.602,-0.0,-0.2,2.7
456,1000,0.597,-0.0,-0.2,2.7
608,1000,0.593,-0.0,-0.2,2.7
760,1000,0.588,-0.0,-0.2,2.7
915,1000,0.582,-0.0,-0.2,2.7
1069,1000,0.576,-0.0,-0.2,2.7
1222,1000,0.57,-0.0,-0.2,2.7
1379,1000,0.564,-0.0,-0.2,2.7
1531,1000,0.558,0.0,-0.2,2.6
1683,1000,0.552,0.0,-0.2,2.7
1835,1000,0.547,0.0,-0.2,2.6
1987,1000,0.539,0.0,-0.2,2.6
2139,1000,0.534,-0.0,-0.1,2.7
2291,1000,0.525,-0.0,-0.2,2.7
2443,1000,0.518,-0.0,-0.2,2.6
2594,1000,0.511,-0.0,-0.2,2.6
2746,1000,0.505,-0.0,-0.2,2.6
2898,1000,0.497,-0.0,-0.2,2.6
3049,1000,0.489,-0.0,-0.2,2.6
3202,1000,0.481,-0.0,-0.2,2.6
3353,1000,0.473,-0.0,-0.2,2.6
3505,1000,0.465,-0.0,-0.2,2.6
3657,1000,0.457,-0.0,-0.2,2.6
3818,1000,0.451,-0.0,-0.2,2.6
3971,1000,0.446,-0.0,-0.2,2.6
4126,1000,0.439,-0.0,-0.2,2.6
4288,1000,0.433,-0.0,-0.2,2.6
4450,1000,0.427,-0.0,-0.2,2.6
4614,1000,0.42,-0.0,-0.2,2.6
4776,1000,0.412,-0.0,-0.2,2.6
4938,1000,0.403,-0.0,-0.2,2.6
5092,1000,0.394,-0.0,-0.2,2.6
5244,1000,0.386,-0.0,-0.2,2.6
5395,1000,0.38,-0.0,-0.2,2.6
5547,1000,0.375,-0.0,-0.1,2.6
5699,1000,0.371,-0.0,-0.2,2.6
5852,1000,0.367,-0.0,-0.2,2.6
6003,1000,0.363,-0.0,-0.2,2.6
6155,1000,0.361,-0.0,-0.2,2.6
6308,1000,0.358,-0.0,-0.2,2.6
6461,1000,0.354,-0.0,-0.1,2.6
6613,1000,0.348,-0.0,-0.2,2.6
6765,1000,0.343,-0.0,-0.2,2.6
6918,1000,0.337,-0.0,-0.2,2.6
7070,1000,0.333,-0.0,-0.2,2.6
7222,1000,0.331,-0.0,-0.2,2.6
7373,1000,0.331,-0.0,-0.2,2.6
7526,1000,0.331,-0.0,-0.2,2.6
7678,1000,0.331,-0.0,-0.2,2.6
7830,1000,0.329,-0.0,-0.2,2.6
7982,1000,0.327,-0.0,-0.2,2.6
8134,1000,0.325,-0.0,-0.2,2.6
8286,1000,0.328,-0.0,-0.2,2.6
8438,1000,0.334,-0.0,-0.2,2.6
8590,1000,0.339,-0.0,-0.2,2.6
8743,1000,0.342,-0.0,-0.2,2.6
8895,1000,0.343,-0.0,-0.2,2.6
9047,1000,0.342,-0.0,-0.2,2.6
9199,1000,0.341,-0.0,-0.2,2.6
9351,1000,0.342,-0.0,-0.2,2.6
9503,1000,0.344,-0.0,-0.2,2.6
9656,1000,0.349,-0.0,-0.2,2.6
9808,1000,0.354,-0.0,-0.2,2.6
9960,1000,0.359,-0.0,-0.2,2.6
10112,1000,0.364,-0.0,-0.2,2.6
10264,1000,0.37,-0.0,-0.2,2.6
10416,1000,0.376,-0.0,-0.2,2.6
10569,1000,0.383,-0.0,-0.2,2.6
10721,1000,0.387,-0.0,-0.2,2.6
10873,1000,0.388,-0.0,-0.2,2.6
11025,1000,0.388,-0.0,-0.2,2.6
11177,1000,0.387,-0.0,-0.2,2.6
11329,1000,0.387,-0.0,-0.2,2.6
11481,1000,0.386,-0.0,-0.2,2.6
11633,1000,0.386,-0.0,-0.2,2.6
11785,1000,0.388,-0.0,-0.2,2.6
11936,1000,0.39,-0.0,-0.2,2.6
12088,1000,0.39,-0.0,-0.2,2.6
12240,1000,0.391,-0.0,-0.2,2.6
12392,1000,0.393,-0.0,-0.2,2.6
12544,1000,0.395,-0.0,-0.2,2.6
12696,1000,0.391,-0.0,-0.2,2.6
12900,1000,0.005,-0.0,-0.2,2.6
13052,1000,-0.001,-0.0,-0.1,2.5
13204,1000,-0.014,-0.0,-0.1,2.5
13356,1000,-0.023,-0.0,-0.1,2.5
13508,1000,-0.04,-0.0,-0.1,2.5
13661,1000,-0.054,-0.0,-0.1,2.5
13813,1000,-0.076,-0.0,-0.1,2.5
13965,1000,-0.093,-0.0,-0.1,2.5
14117,1000,-0.114,-0.0,-0.1,2.5
14268,1000,-0.129,-0.0,-0.1,2.5
14420,1000,-0.146,-0.0,-0.1,2.5
14572,1000,-0.16,-0.0,-0.0,2.5
14724,1000,-0.18,-0.0,-0.0,2.5
14876,1000,-0.195,-0.0,-0.0,2.5
15029,1000,-0.213,-0.0,-0.0,2.5
15181,1000,-0.226,-0.0,-0.0,2.5
15334,1000,-0.24,-0.1,-0.0,2.5
15486,1000,-0.25,-0.1,-0.1,2.5
15638,1000,-0.262,-0.1,-0.1,2.5
15790,1000,-0.269,-0.1,-0.1,2.5
15943,1000,-0.273,-0.1,-0.1,2.5
16095,1000,-0.273,-0.1,-0.1,2.5
16247,1000,-0.271,-0.1,-0.1,2.5
16399,1000,-0.268,-0.1,-0.1,2.5
Setting mode GUIDED...
Mode = GUIDED
16647,1000,-0.126,-0.0,-0.1,2.5
16805,1000,-0.129,-0.0,-0.1,2.5
16962,1000,-0.131,-0.1,-0.1,2.5
17120,1000,-0.138,-0.1,-0.1,2.5
17282,1000,-0.141,-0.1,-0.1,2.5
17444,1000,-0.15,-0.1,-0.1,2.5
17606,1000,-0.154,-0.1,-0.1,2.5
17772,1000,-0.162,-0.0,-0.1,2.5
17936,1000,-0.168,-0.0,-0.1,2.5
18098,1000,-0.176,-0.0,-0.1,2.5
18262,1000,-0.181,-0.0,-0.1,2.5
18426,1000,-0.189,-0.0,-0.1,2.5
18589,1000,-0.193,-0.0,-0.1,2.5
18752,1000,-0.196,-0.0,-0.1,2.5
18910,1000,-0.196,-0.0,-0.1,2.5
19076,1000,-0.194,-0.0,-0.1,2.5
19239,1000,-0.19,-0.0,-0.1,2.5
19405,1000,-0.184,-0.0,-0.1,2.5
19568,1000,-0.177,-0.0,-0.1,2.5
19729,1000,-0.169,-0.0,-0.1,2.5
19893,1000,-0.162,-0.0,-0.1,2.5
20057,1000,-0.154,-0.0,-0.1,2.5
20220,1000,-0.146,-0.0,-0.1,2.5
20384,1000,-0.139,-0.0,-0.1,2.5
20546,1000,-0.13,-0.0,-0.1,2.5
20710,1000,-0.121,-0.0,-0.1,2.5
20874,1000,-0.112,-0.0,-0.1,2.5
21040,1000,-0.102,-0.0,-0.1,2.5
21204,1000,-0.092,-0.0,-0.1,2.5
21366,1000,-0.082,-0.0,-0.1,2.5
21530,1000,-0.073,-0.0,-0.1,2.5
21693,1000,-0.063,-0.0,-0.1,2.5
21857,1000,-0.053,-0.0,-0.1,2.5
22020,1000,-0.043,-0.0,-0.1,2.5
22184,1000,-0.031,-0.0,-0.1,2.5
22348,1000,-0.017,-0.0,-0.1,2.5
22512,1000,-0.005,-0.0,-0.1,2.5
22677,1000,0.005,-0.1,-0.1,2.5
22841,1000,0.016,-0.1,-0.2,2.5
23004,1000,0.028,-0.1,-0.2,2.5
23168,1000,0.038,-0.1,-0.2,2.5
23334,1000,0.05,-0.1,-0.2,2.4
23497,1000,0.061,-0.1,-0.2,2.4
23663,1000,0.071,-0.0,-0.2,2.4
23826,1000,0.078,-0.0,-0.2,2.4
23991,1000,0.083,-0.1,-0.2,2.4
24154,1000,0.089,-0.1,-0.2,2.4
24321,1000,0.097,-0.1,-0.2,2.4
24484,1000,0.106,-0.1,-0.2,2.4
24647,1000,0.116,-0.1,-0.2,2.4
24810,1000,0.125,-0.1,-0.2,2.4
24974,1000,0.133,-0.1,-0.2,2.4
25138,1000,0.14,-0.1,-0.2,2.4
25302,1000,0.145,-0.1,-0.2,2.4
25464,1000,0.149,-0.1,-0.2,2.4
25628,1000,0.149,-0.1,-0.2,2.4
25790,1000,0.15,-0.1,-0.2,2.4
25957,1000,0.154,-0.1,-0.2,2.4
26120,1000,0.158,-0.1,-0.2,2.4
26283,1000,0.164,-0.0,-0.2,2.4
26446,1000,0.168,-0.1,-0.2,2.4
26604,1000,0.171,-0.0,-0.2,2.4
26770,1000,0.173,-0.0,-0.2,2.4
26933,1000,0.174,-0.0,-0.3,2.4
27096,1000,0.176,-0.0,-0.3,2.4
27260,1000,0.18,-0.0,-0.3,2.4
27426,1000,0.186,-0.0,-0.3,2.4
27590,1000,0.191,-0.0,-0.3,2.4
27753,1000,0.197,-0.0,-0.3,2.4
27917,1000,0.201,-0.0,-0.3,2.4
28080,1000,0.207,-0.0,-0.3,2.4
