Connecting to /dev/serial/by-id/usb-FTDI_FT232R_USB_UART_A5XK3RJT-if00-port0 @ 57600...
HEARTBEAT received: 0, 0
t_ms,ch6,alt,roll,pitch,yaw
127,1000,-0.818,0.8,0.3,51.8
229,1000,-0.817,0.8,0.3,51.8
311,1000,-0.817,0.8,0.3,51.8
434,1000,-0.817,0.8,0.3,51.8
537,1000,-0.818,0.8,0.3,51.8
640,1000,-0.821,0.8,0.2,51.8
722,1000,-0.823,0.8,0.2,51.8
804,1000,-0.823,0.8,0.2,51.9
927,1000,-0.822,0.8,0.2,51.9
1029,1000,-0.82,0.8,0.2,51.9
1132,1000,-0.819,0.8,0.2,51.9
1214,1000,-0.821,0.8,0.2,51.9
1337,1000,-0.822,0.8,0.2,51.9
1419,1000,-0.822,0.8,0.2,51.9
1502,1000,-0.823,0.8,0.2,51.9
1628,1000,-0.823,0.8,0.2,51.9
1730,1000,-0.824,0.8,0.2,51.9
1833,1000,-0.825,0.8,0.2,51.9
1942,1000,-0.828,0.8,0.2,51.9
2051,1000,-0.83,0.8,0.2,51.9
2147,1000,-0.831,0.8,0.2,51.9
2220,1000,-0.829,0.8,0.2,51.9
2336,1000,-0.827,0.8,0.2,51.9
2432,1000,-0.826,0.8,0.2,51.9
2553,1000,-0.824,0.8,0.2,51.9
2647,1000,-0.822,0.8,0.1,51.9
2732,1000,-0.821,0.8,0.1,51.9
2814,1000,-0.818,0.8,0.1,51.9
2937,1000,-0.816,0.8,0.1,51.9
3040,1000,-0.812,0.8,0.1,51.9
3122,1000,-0.808,0.8,0.1,51.9
3204,1000,-0.803,0.8,0.2,51.9
3327,1000,-0.8,0.8,0.2,51.9
3429,1000,-0.8,0.8,0.2,51.9
3533,1000,-0.801,0.8,0.2,51.9
3635,1000,-0.801,0.8,0.2,51.9
3717,1000,-0.802,0.8,0.2,51.9
3840,1000,-0.803,0.8,0.2,51.9
3943,1000,-0.804,0.8,0.2,51.9
4045,1000,-0.806,0.8,0.2,51.9
4128,1000,-0.808,0.8,0.2,51.9
4210,1000,-0.811,0.8,0.2,51.9
4333,1000,-0.813,0.8,0.2,51.9
4435,1000,-0.812,0.9,0.2,51.9
4538,1000,-0.813,0.9,0.2,51.9
4620,1000,-0.812,0.9,0.2,51.9
4703,1000,-0.814,0.9,0.2,51.9
4826,1000,-0.82,0.9,0.2,51.9
4928,1000,-0.825,0.9,0.2,51.9
5031,1000,-0.83,0.9,0.2,51.9
5134,1000,-0.835,0.9,0.2,51.9
5216,1000,-0.839,0.9,0.2,51.9
5339,1000,-0.841,0.9,0.2,51.9
5442,1000,-0.841,0.9,0.2,51.9
5524,1000,-0.842,0.9,0.2,51.9
5606,1000,-0.842,0.9,0.2,51.9
5729,1000,-0.843,0.9,0.2,51.9
5831,1000,-0.842,0.9,0.2,51.9
5935,1000,-0.842,0.9,0.2,51.9
6018,1000,-0.842,0.9,0.2,51.9
6120,1000,-0.843,0.9,0.2,51.9
6243,1000,-0.845,0.9,0.2,51.9
6326,1000,-0.847,0.9,0.2,51.9
6428,1000,-0.849,0.9,0.2,51.9
6511,1000,-0.852,0.9,0.2,51.9
6633,1000,-0.855,0.9,0.2,51.9
6715,1000,-0.858,0.9,0.2,51.9
6817,1000,-0.861,0.9,0.2,51.9
6939,1000,-0.866,0.9,0.1,52.0
7042,1000,-0.87,0.9,0.2,52.0
7144,1000,-0.873,0.9,0.1,52.0
7227,1000,-0.876,0.9,0.2,51.9
7309,1000,-0.876,0.9,0.1,52.0
7432,1000,-0.875,0.9,0.2,52.0
7535,1000,-0.873,0.9,0.1,52.1
7637,1000,-0.873,0.9,0.2,52.0
7720,1000,-0.875,0.9,0.2,52.0
7802,1000,-0.876,0.8,0.1,52.0
7924,1000,-0.878,0.8,0.1,52.0
8027,1000,-0.882,0.9,0.2,52.0
8130,1000,-0.886,0.9,0.1,52.1
8232,1000,-0.891,0.9,0.1,52.1
8314,1000,-0.894,0.9,0.2,52.0
8437,1000,-0.895,0.9,0.2,52.0
8540,1000,-0.896,0.9,0.2,51.9
8623,1000,-0.896,0.9,0.2,51.9
8705,1000,-0.894,0.9,0.2,52.0
8827,1000,-0.894,0.9,0.2,52.0
8930,1000,-0.895,0.9,0.2,52.0
