time: 1768185834.6, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.404:.3f, vz:0:.3f
time: 1768185834.6, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.404:.3f, vz:0:.3f
time: 1768185834.6, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.404:.3f, vz:0:.3f
time: 1768185834.6, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.46:.3f, vz:0:.3f
time: 1768185834.7, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.46:.3f, vz:0:.3f
time: 1768185834.7, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.46:.3f, vz:0:.3f
time: 1768185834.7, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.507:.3f, vz:0:.3f
time: 1768185834.7, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.507:.3f, vz:0:.3f
time: 1768185834.7, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.507:.3f, vz:0:.3f
time: 1768185834.7, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.507:.3f, vz:0:.3f
time: 1768185834.7, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.544:.3f, vz:0:.3f
time: 1768185834.7, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.544:.3f, vz:0:.3f
time: 1768185834.7, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.544:.3f, vz:0:.3f
time: 1768185834.8, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.574:.3f, vz:0:.3f
time: 1768185834.8, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.574:.3f, vz:0:.3f
time: 1768185834.8, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.574:.3f, vz:0:.3f
time: 1768185834.8, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.597:.3f, vz:0:.3f
time: 1768185834.8, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.597:.3f, vz:0:.3f
time: 1768185834.8, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.597:.3f, vz:0:.3f
time: 1768185834.8, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.614:.3f, vz:0:.3f
time: 1768185834.8, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.614:.3f, vz:0:.3f
time: 1768185834.8, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.614:.3f, vz:0:.3f
time: 1768185834.9, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.628:.3f, vz:0:.3f
time: 1768185834.9, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.628:.3f, vz:0:.3f
time: 1768185834.9, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.628:.3f, vz:0:.3f
time: 1768185834.9, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.639:.3f, vz:0:.3f
time: 1768185834.9, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.639:.3f, vz:0:.3f
time: 1768185834.9, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.639:.3f, vz:0:.3f
time: 1768185834.9, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.645:.3f, vz:0:.3f
time: 1768185834.9, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.645:.3f, vz:0:.3f
time: 1768185834.9, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.645:.3f, vz:0:.3f
time: 1768185835.0, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.648:.3f, vz:0:.3f
time: 1768185835.0, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.648:.3f, vz:0:.3f
time: 1768185835.0, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.648:.3f, vz:0:.3f
time: 1768185835.0, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.648:.3f, vz:0:.3f
time: 1768185835.0, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.648:.3f, vz:0:.3f
time: 1768185835.0, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.648:.3f, vz:0:.3f
time: 1768185835.0, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.643:.3f, vz:0:.3f
time: 1768185835.0, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.643:.3f, vz:0:.3f
time: 1768185835.0, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.643:.3f, vz:0:.3f
time: 1768185835.1, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.63:.3f, vz:0:.3f
time: 1768185835.1, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.63:.3f, vz:0:.3f
time: 1768185835.1, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.63:.3f, vz:0:.3f
time: 1768185835.1, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.615:.3f, vz:0:.3f
time: 1768185835.1, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.615:.3f, vz:0:.3f
time: 1768185835.1, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.615:.3f, vz:0:.3f
time: 1768185835.1, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.597:.3f, vz:0:.3f
time: 1768185835.1, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.597:.3f, vz:0:.3f
time: 1768185835.1, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.597:.3f, vz:0:.3f
time: 1768185835.2, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.58:.3f, vz:0:.3f
time: 1768185835.2, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.58:.3f, vz:0:.3f
time: 1768185835.2, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.58:.3f, vz:0:.3f
time: 1768185835.2, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.562:.3f, vz:0:.3f
time: 1768185835.2, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.562:.3f, vz:0:.3f
time: 1768185835.2, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.562:.3f, vz:0:.3f
time: 1768185835.2, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.546:.3f, vz:0:.3f
time: 1768185835.2, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.546:.3f, vz:0:.3f
time: 1768185835.2, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.546:.3f, vz:0:.3f
time: 1768185835.3, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.534:.3f, vz:0:.3f
time: 1768185835.3, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.534:.3f, vz:0:.3f
time: 1768185835.3, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.534:.3f, vz:0:.3f
time: 1768185835.3, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.525:.3f, vz:0:.3f
time: 1768185835.3, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.525:.3f, vz:0:.3f
time: 1768185835.3, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.525:.3f, vz:0:.3f
time: 1768185835.3, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.518:.3f, vz:0:.3f
time: 1768185835.3, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.518:.3f, vz:0:.3f
time: 1768185835.3, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.518:.3f, vz:0:.3f
time: 1768185835.3, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.512:.3f, vz:0:.3f
time: 1768185835.4, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.512:.3f, vz:0:.3f
time: 1768185835.4, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.512:.3f, vz:0:.3f
time: 1768185835.4, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.505:.3f, vz:0:.3f
time: 1768185835.4, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.505:.3f, vz:0:.3f
time: 1768185835.4, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.505:.3f, vz:0:.3f
time: 1768185835.4, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.5:.3f, vz:0:.3f
time: 1768185835.4, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.5:.3f, vz:0:.3f
time: 1768185835.4, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.5:.3f, vz:0:.3f
time: 1768185835.4, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.496:.3f, vz:0:.3f
time: 1768185835.5, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.496:.3f, vz:0:.3f
time: 1768185835.5, dx: 0.0:.3f, vx:0.0:.3f, dy:0.0:.3f, vy:0.0:.3f, dz:2.496:.3f, vz:0:.3f
time: 1768185835.5, dx: -0.8200990990990992:.3f, vx:-0.32803963963963967:.3f, dy:0.5350304054054055:.3f, vy:0.1070060810810811:.3f, dz:2.494:.3f, vz:0.010695473178861197:.3f
time: 1768185835.5, dx: -0.8720574324324325:.3f, vx:-0.34882297297297304:.3f, dy:0.6168296734234235:.3f, vy:0.12336593468468471:.3f, dz:2.494:.3f, vz:0.005722699556814297:.3f
time: 1768185835.5, dx: -0.8706531531531533:.3f, vx:-0.34826126126126133:.3f, dy:0.7484808558558559:.3f, vy:0.14969617117117118:.3f, dz:2.494:.3f, vz:0.005840092937350704:.3f
time: 1768185835.5, dx: -0.8934797297297298:.3f, vx:-0.3573918918918919:.3f, dy:0.8274521396396397:.3f, vy:0.16549042792792795:.3f, dz:2.495:.3f, vz:0.004059431240833875:.3f
time: 1768185835.5, dx: -0.8878603603603604:.3f, vx:-0.3551441441441442:.3f, dy:0.8822409909909911:.3f, vy:0.17644819819819824:.3f, dz:2.495:.3f, vz:0.004472322831994736:.3f
time: 1768185835.5, dx: -0.8176182432432433:.3f, vx:-0.3270472972972973:.3f, dy:0.922981418918919:.3f, vy:0.18459628378378382:.3f, dz:2.495:.3f, vz:0.010966294982676138:.3f
time: 1768185835.5, dx: -0.6945484234234235:.3f, vx:-0.2778193693693694:.3f, dy:0.9602764639639639:.3f, vy:0.1920552927927928:.3f, dz:2.497:.3f, vz:0.026757428760732806:.3f
time: 1768185835.6, dx: -0.6650230855855855:.3f, vx:-0.2660092342342342:.3f, dy:0.9701182432432431:.3f, vy:0.19402364864864863:.3f, dz:2.497:.3f, vz:0.03106872009893724:.3f
time: 1768185835.6, dx: -0.5933186936936936:.3f, vx:-0.23732747747747746:.3f, dy:0.9841779279279278:.3f, vy:0.19683558558558556:.3f, dz:2.497:.3f, vz:0.04193433060565405:.3f
time: 1768185835.6, dx: -0.5841779279279279:.3f, vx:-0.23367117117117117:.3f, dy:0.9895833333333334:.3f, vy:0.19791666666666669:.3f, dz:2.5:.3f, vz:0.043391091490994294:.3f
time: 1768185835.6, dx: -0.5292792792792793:.3f, vx:-0.21171171171171174:.3f, dy:0.9994369369369369:.3f, vy:0.1998873873873874:.3f, dz:2.5:.3f, vz:0.051817841194639974:.3f
time: 1768185835.6, dx: -0.5320945945945946:.3f, vx:-0.21283783783783786:.3f, dy:0.9881756756756757:.3f, vy:0.19763513513513514:.3f, dz:2.5:.3f, vz:0.05138859504984418:.3f
time: 1768185835.6, dx: -0.48423423423423423:.3f, vx:-0.1936936936936937:.3f, dy:0.9304617117117117:.3f, vy:0.18609234234234234:.3f, dz:2.5:.3f, vz:0.05859935812424797:.3f
time: 1768185835.6, dx: -0.45626351351351346:.3f, vx:-0.18250540540540539:.3f, dy:0.8914037162162163:.3f, vy:0.17828074324324328:.3f, dz:2.501:.3f, vz:0.06272135620448062:.3f
time: 1768185835.6, dx: -0.4140168918918919:.3f, vx:-0.16560675675675676:.3f, dy:0.8308502252252252:.3f, vy:0.16617004504504507:.3f, dz:2.501:.3f, vz:0.06868161661700124:.3f
time: 1768185835.6, dx: -0.3802195945945946:.3f, vx:-0.15208783783783786:.3f, dy:0.7688885135135135:.3f, vy:0.15377770270270272:.3f, dz:2.501:.3f, vz:0.07320408594866555:.3f
time: 1768185835.7, dx: -0.3605045045045045:.3f, vx:-0.1442018018018018:.3f, dy:0.7379076576576576:.3f, vy:0.14758153153153153:.3f, dz:2.501:.3f, vz:0.07572498447711948:.3f
time: 1768185835.7, dx: 0:.3f, vx:0.0:.3f, dy:0.7012939189189189:.3f, vy:0.14025878378378379:.3f, dz:2.501:.3f, vz:0.10003829163963375:.3f
time: 1768185835.7, dx: 0:.3f, vx:0.0:.3f, dy:0.6815788288288288:.3f, vy:0.13631576576576576:.3f, dz:2.501:.3f, vz:0.10003838634150793:.3f
